PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,MODEL
26995,2014,52464,158,44,8,3022
46995,2016,9438,167,18,8,3022
30991,2014,25418,240,29,8,3022
26990,2014,33982,110,1,8,3022
27490,2014,37982,569,2,8,3022
25190,2014,44507,1841,1,8,3022
22491,2014,33548,362,38,8,3022
23888,2014,40981,247,14,8,3022
22907,2014,46289,691,28,8,3022
23578,2014,43372,128,17,8,3022
23000,2014,34666,81,9,8,3022
21888,2014,38097,52,1,8,3022
20334,2014,35671,81,17,8,3022
33304,2014,25804,178,35,8,3022
29345,2014,32318,201,28,8,3022
23500,2013,46199,120,16,8,3022
62995,2015,31252,531,5,8,3022
32999,2015,34130,561,29,8,3022
25995,2014,26241,235,2,8,3022
23900,2013,80716,607,5,8,3022
34000,2017,5830,893,3,8,3022
32397,2017,6366,542,9,8,3022
9995,2009,106609,59,19,8,3022
14500,2011,87830,510,10,8,3022
25990,2014,40226,633,9,8,3022
34778,2015,23649,48,21,8,3022
15999,2009,68080,277,1,8,3022
8788,2007,72008,147,11,8,3022
7989,2007,92301,1234,14,8,3022
21490,2014,35482,392,31,8,3022
32000,2015,14057,331,9,8,3022
13970,2012,77703,420,11,8,3022
18995,2010,46927,61,5,8,3022
31477,2013,27092,1214,2,8,3022
10991,2011,153478,63,21,8,3022
51999,2017,2688,301,3,8,3022
23918,2011,97505,169,22,8,3022
12950,2010,52817,331,17,8,3022
5456,2007,135314,106,24,8,3022
18900,2015,54048,553,32,8,3022
21788,2016,37273,174,1,8,3022
40992,2015,33181,233,20,8,3022
26277,2013,65756,181,3,8,3022
34499,2015,29096,336,9,8,3022
17351,2010,88367,40,5,8,3022
27991,2015,49811,251,2,8,3022
15930,2013,129156,645,19,8,3022
20997,2012,59896,135,10,8,3022
27790,2014,39355,424,42,8,3022
17477,2012,91743,63,4,8,3022
23891,2013,65765,617,28,8,3022
32750,2017,7377,99,10,8,3022
37783,2015,26258,201,1,8,3022
33329,2013,46357,53,34,8,3022
17400,2010,49878,168,31,8,3022
38488,2017,8222,176,1,8,3022
11479,2008,86152,81,1,8,3022
63988,2010,28790,60,1,8,3022
19999,2017,9016,172,17,8,3022
17944,2015,27490,247,17,8,3022
14895,2009,95877,178,42,8,3022
8000,2002,172327,339,32,8,3022
13995,2012,42600,288,5,8,3022
11000,2012,93661,39,32,8,3022
8999,2008,85390,300,9,8,3022
8495,2004,128393,75,5,8,3022
25907,2012,72465,63,6,8,3022
16549,2012,97229,59,5,8,3022
25446,2014,42066,418,9,8,3022
25596,2014,28461,954,9,8,3022
39990,2017,15480,185,19,8,3022
41900,2015,17530,247,17,8,3022
47850,2014,25526,395,19,8,3022
36000,2014,24802,1634,1,8,3022
36998,2014,48063,109,2,8,3022
38990,2014,7337,237,42,8,3022
36984,2016,36166,135,1,8,3022
12999,2009,79350,29,9,8,3022
10913,2008,109750,315,21,8,3022
33798,2015,45408,335,2,8,3022
27770,2015,30719,67,35,8,3022
36420,2017,4614,371,33,8,3022
22740,2015,45663,21,26,8,3022
38771,2018,515,92,19,8,3022
12997,2007,117552,335,19,8,3022
17375,2010,83213,185,14,8,3022
19934,2012,54313,29,17,8,3022
40995,2016,22017,132,9,8,3022
27712,2014,67007,21,2,8,3022
30490,2015,52001,61,10,8,3022
31997,2014,44349,773,3,8,3022
40991,2016,17415,92,5,8,3022
38888,2016,22276,400,9,8,3022
34995,2015,40492,335,20,8,3022
35650,2015,31615,372,22,8,3022
6999,2006,103590,94,24,8,3022
23999,2012,89029,137,2,8,3022
21995,2012,58547,171,18,8,3022
13000,2008,135008,170,28,8,3022
4978,2007,101329,51,5,8,3022
13199,2012,45105,224,9,8,3022
22000,2016,21033,1180,5,8,3022
16500,2014,11206,621,5,8,3022
17995,2017,18509,53,1,8,3022
19960,2013,50108,59,1,8,3022
12988,2011,70811,301,9,8,3022
15985,2013,59581,508,21,8,3022
22800,2016,34010,528,17,8,3022
13999,2013,58385,483,1,8,3022
18850,2015,30362,417,1,8,3022
17999,2015,36309,592,9,8,3022
15890,2015,38772,324,14,8,3022
26999,2015,24482,557,5,8,3022
19490,2015,66180,220,28,8,3022
29300,2016,3310,550,5,8,3022
13000,2011,128205,339,22,8,3022
12989,2010,99259,322,14,8,3022
14995,2008,71133,314,5,8,3022
20587,2014,41670,296,5,8,3022
185995,2017,75,392,1,8,3022
22991,2017,7719,243,1,8,3022
25495,2014,41368,1421,3,8,3021
13995,2011,72283,176,9,8,3021
10891,2011,119871,32,7,8,3021
16987,2012,129736,247,28,8,3021
39590,2017,8027,182,18,8,3021
20295,2014,35941,185,17,8,3021
17511,2012,43077,283,5,8,3021
7495,2004,152410,357,31,8,3021
10994,2010,94486,314,33,8,3021
24995,2015,41000,440,17,8,3021
9999,2013,171510,48,2,8,3021
19995,2013,50407,247,3,8,3021
21987,2013,90916,139,9,8,3021
20497,2015,16879,359,14,8,3021
14492,2012,59790,222,17,8,3021
38747,2017,13011,416,9,8,3021
17591,2012,64252,268,3,8,3021
41591,2014,25461,296,12,8,3021
39984,2016,10608,199,1,8,3021
15999,2013,55737,391,14,8,3021
6900,2007,94156,71,9,8,3021
21888,2016,41164,589,22,8,3021
69995,2000,35917,176,18,8,3021
63522,2016,7504,333,12,8,3020
20450,2015,7095,589,1,8,3020
32999,2014,63261,229,3,8,3020
22900,2013,50647,331,2,8,3020
11950,2009,40200,585,18,8,3020
12995,2008,96251,32,9,8,3020
34488,2012,30352,1837,19,8,3020
15900,2011,74168,511,3,8,3020
22995,2014,69495,441,3,8,3020
27800,2014,37321,95,5,8,3020
15964,2010,76570,64,19,8,3020
13250,2012,104276,212,14,8,3020
34500,2016,20951,329,4,8,3020
39995,2015,31572,301,10,8,3020
40591,2015,24177,40,9,8,3020
65991,2018,1287,1146,5,8,3020
11999,2004,73940,207,22,8,3020
19990,2011,84264,315,1,8,3020
18297,2015,19993,254,24,8,3020
26000,2017,3100,298,10,8,3020
5995,2006,151665,585,18,8,3020
14987,2011,59730,229,5,8,3020
18891,2014,26055,129,3,8,3020
30495,2011,80414,335,1,8,3020
36495,2017,14236,71,1,8,3020
47200,2017,5,614,1,8,3020
25900,2014,81802,436,35,8,3020
6950,2005,132185,329,29,8,3020
7995,2005,117990,58,6,8,3020
12894,2011,70718,202,35,8,3020
14129,2009,98268,23,5,8,3020
15995,2013,85746,360,29,8,3020
3495,2003,172717,435,22,8,3020
20495,2014,15829,202,9,8,3019
31774,2016,7990,218,14,8,3019
18950,2014,25359,176,28,8,3019
11995,2008,104070,205,3,8,3019
6998,2005,108838,185,9,8,3019
38869,2017,3391,400,19,8,3019
39900,2017,4997,1930,25,8,3019
17960,2005,139953,1832,18,8,3019
